Title,Price,Location,Year,Link,Mileage,Fuel,Engine,Transmission,Last_updated,Image_url
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 49 lacs,Rawalpindi,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-rawalpindi-9971910,"44,618 km",Petrol,1300 cc,Manual,Updated 2 days ago,https://cache1.pakwheels.com/ad_pictures/1199/toyota-corolla-gli-vvti-2014-119907624.webp
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 34 lacs,Multan,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-multan-10029047,"152,133 km",Petrol,1300 cc,Manual,Updated 3 days ago,https://cache2.pakwheels.com/ad_pictures/1207/toyota-corolla-gli-vvti-2015-120799494.webp
Toyota Corolla  2014 GLi Automatic 1.6 VVTi,PKR 35 lacs,Karachi,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-karachi-10039585,"95,000 km",Petrol,1600 cc,Automatic,Updated 4 days ago,https://cache3.pakwheels.com/ad_pictures/1209/toyota-corolla-1-6-gli-automatic-2014-120956529.webp
Toyota Corolla  2013 GLi 1.3 VVTi,PKR 29.9 lacs,Multan,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-multan-10052301,"170,000 km",Petrol,1300 cc,Manual,Updated about 9 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2013-121147589.webp
Toyota Corolla  2013 GLi 1.3 VVTi,PKR 26.5 lacs,Dunia Pur,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-dunia-pur-10052260,"350,000 km",Petrol,1300 cc,Manual,Updated about 9 hours ago,https://cache4.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2013-121146801.webp
Toyota Corolla  2013 GLi Limited Edition 1.3 VVTi,PKR 27 lacs,Faisalabad,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-faisalabad-10052217,"200,000 km",Petrol,1300 cc,Manual,Updated about 10 hours ago,https://cache3.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-limited-edition-2013-121146096.webp
Toyota Corolla  2016 GLi 1.3 VVTi,PKR 38 lacs,Islamabad,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-islamabad-10052192,190 km,Petrol,1300 cc,Manual,Updated about 10 hours ago,https://cache3.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2016-121145849.webp
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 35 lacs,Karachi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-9989092,"78,000 km",Petrol,1300 cc,Automatic,Updated about 11 hours ago,https://cache4.pakwheels.com/ad_pictures/1208/toyota-corolla-gli-vvti-automatic-2015-120843852.webp
Toyota Corolla  2015 GLi 1.3 VVTi,PKR 31.5 lacs,Jhelum,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-jhelum-10051846,"150,000 km",Petrol,1300 cc,Manual,Updated about 11 hours ago,https://cache3.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2015-121140256.webp
Toyota Corolla  2013 GLi 1.3 VVTi,PKR 31 lacs,Mian Wali,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-mian-wali-10051794,"200,000 km",Petrol,1300 cc,Manual,Updated about 11 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2013-121139577.webp
